Date,Adj Close,Volume
2019/02/27,97.839996,5207600
2019/02/26,98.5,8701100
2019/02/25,95.860001,7046600
2019/02/22,95.919998,11617000
2019/02/21,96.860001,8104300
2019/02/20,98.629997,10649100
2019/02/19,102.959999,10882700
2019/02/15,106.839996,11254900
2019/02/14,105.25,10547000
2019/02/13,102.25,15890000
2019/02/12,102.330002,31161300
2019/02/11,97.239998,38704500
2019/02/08,97.599998,26898500
2019/02/07,84.099998,11391300
2019/02/06,80.209999,30198600
2019/02/05,92.519997,11931400
2019/02/04,88.43,5982500
2019/02/01,91.220001,2890300
2019/01/31,92.239998,4148200
2019/01/30,89.230003,3797800
2019/01/29,87.239998,3961400
2019/01/28,90.470001,4339500
2019/01/25,91.739998,4167700
2019/01/24,91.480003,3167900
2019/01/23,89.129997,4085900
2019/01/22,91.309998,4474700
2019/01/18,92.519997,5403600
2019/01/17,89.309998,4283300
2019/01/16,89.919998,6613100
2019/01/15,89.489998,2794600
2019/01/14,88.580002,3351500
2019/01/11,90.699997,3757600
2019/01/10,91.010002,4745600
2019/01/09,88.910004,4178800
2019/01/08,89.019997,6468300
2019/01/07,87.589996,6611300
2019/01/04,84.419998,7254400
2019/01/03,78.709999,3747100
2019/01/02,80.370003,3176600
2018/12/31,78.910004,2942400
2018/12/28,79.300003,2733600
2018/12/27,79.43,4261000
2018/12/26,77.889999,3257300
2018/12/24,74.720001,2556900
2018/12/21,76.57,7829900
2018/12/20,77.440002,5567700
2018/12/19,78.360001,6416600
2018/12/18,80,6191100
2018/12/17,79.230003,4083500
2018/12/14,80.160004,5227600
2018/12/13,80.860001,5011100
2018/12/12,82.989998,3400500
2018/12/11,83.440002,3876700
2018/12/10,83.730003,3888400
2018/12/07,82.519997,4589100
2018/12/06,83.879997,5747500
2018/12/04,81.18,5129500
2018/12/03,84,5052200
2018/11/30,84.07,5395500
2018/11/29,86.389999,3527300
2018/11/28,85.900002,4197200
2018/11/27,85.040001,3372200
2018/11/26,84.93,5383800
2018/11/23,82.669998,1906800
2018/11/21,84.019997,3272900
2018/11/20,83.019997,5388800
2018/11/19,83.040001,4461800
2018/11/16,85.970001,4585300
2018/11/15,88.25,3827400
2018/11/14,85.760002,3591300
2018/11/13,87.389999,3732300
2018/11/12,87.660004,5123600
2018/11/09,88.889999,7236500
2018/11/08,93.870003,5045800
2018/11/07,93.800003,7249200
2018/11/06,92.230003,4121700
2018/11/05,92.690002,4163800
2018/11/02,92.459999,5325300
2018/11/01,94.199997,5444200
2018/10/31,90.980003,17510800
2018/10/30,94.830002,6678700
2018/10/29,91.190002,9957000
2018/10/26,96.220001,4263500
2018/10/25,98.639999,5610900
2018/10/24,96.25,4851800
2018/10/23,99.089996,6842900
2018/10/22,101.360001,4983100
2018/10/19,102.110001,5432300
2018/10/18,105.800003,4731800
2018/10/17,108.790001,3196200
2018/10/16,107.419998,5441900
2018/10/15,105.879997,2602000
2018/10/12,106.099998,5384500
2018/10/11,103.599998,6251700
2018/10/10,105.150002,7443800
2018/10/09,109.489998,5238500
2018/10/08,110.620003,4784400
2018/10/05,113.730003,3571400
2018/10/04,114.010002,5235500
2018/10/03,116.389999,3632600
2018/10/02,117.050003,4160100
2018/10/01,117.550003,5741600
2018/09/28,120.489998,3904900
2018/09/27,119.379997,3290000
2018/09/26,118.089996,5062600
2018/09/25,116.25,2591100
2018/09/24,115.239998,2831500
2018/09/21,115.019997,7421800
2018/09/20,113.470001,3747000
2018/09/19,112.919998,3013200
2018/09/18,112.650002,3448400
2018/09/17,112.690002,3516000
2018/09/14,114.269997,3207500
2018/09/13,113.839996,2506600
2018/09/12,113,3068300
2018/09/11,112.290001,4217300
2018/09/10,113.209999,4424900
2018/09/07,114.910004,5742500
2018/09/06,113.199997,6382600
2018/09/05,111.550003,4311100
2018/09/04,113.519997,5245500
2018/08/31,113.410004,9652900
2018/08/30,115.940002,19585500
2018/08/29,128.520004,3138100
2018/08/28,127.790001,2418700
2018/08/27,128.970001,2404600
2018/08/24,128.970001,3483300
2018/08/23,126.110001,4468200
2018/08/22,127.620003,6609700
2018/08/21,126.760002,5814300
2018/08/20,127.709999,3625400
2018/08/17,128.009995,3805600
2018/08/16,129.710007,4673400
2018/08/15,128.050003,5484700
2018/08/14,131.910004,3052900
2018/08/13,131.320007,4636100
2018/08/10,131.320007,5190400
2018/08/09,127.82,4261100
2018/08/08,128.410004,2740000
2018/08/07,128.100006,3858900
2018/08/06,129.029999,3366600
2018/08/03,130.869995,5456500
2018/08/02,128.649994,3535300
2018/08/01,127.480003,4863900
2018/07/31,128.75,6231300
2018/07/30,126.209999,9488300
2018/07/27,133.809998,11612100
2018/07/26,141.899994,6273500
2018/07/25,146.5,2944900
2018/07/24,144.320007,3880200
2018/07/23,146.559998,2226900
2018/07/20,147.479996,2153700
2018/07/19,147.960007,1645500
2018/07/18,148.929993,2486800
2018/07/17,148.740005,2478100
2018/07/16,146.679993,1917700
2018/07/13,148.729996,2108600
2018/07/12,148.610001,1903400
2018/07/11,145.720001,2057200
2018/07/10,144.190002,1716000
2018/07/09,144.639999,2041900
2018/07/06,145.100006,1628500
2018/07/05,143.229996,1266600
2018/07/03,141.229996,1168800
2018/07/02,143.479996,1872100
2018/06/29,141.020004,2371200
2018/06/28,140.630005,2708200
2018/06/27,137.75,2541800
2018/06/26,140.369995,2691200
2018/06/25,140.520004,2574200
2018/06/22,141.259995,3053000
2018/06/21,143.149994,1536000
2018/06/20,143.539993,1935800
2018/06/19,143.089996,4117800
2018/06/18,144.860001,2890200
2018/06/15,146.649994,3943800
2018/06/14,144.389999,4558800
2018/06/13,143.279999,6432900
2018/06/12,139.779999,2902100
2018/06/11,139.160004,5073200
2018/06/08,137.869995,3494500
2018/06/07,136.910004,2481600
2018/06/06,136.940002,2915000
2018/06/05,136.960007,2645200
2018/06/04,134.660004,2470000
2018/06/01,135.690002,2909600
2018/05/31,130.910004,2516500
2018/05/30,131.369995,1395000
2018/05/29,131.25,1750100
