Date,Adj Close,Volume
2019/02/27,13.25,2300
2019/02/26,12.4,0
2019/02/25,12.4,12500
2019/02/22,12.25,13000
2019/02/21,13,3300
2019/02/20,13.03,7900
2019/02/19,12.46,2000
2019/02/15,12.11,1600
2019/02/14,11.99,700
2019/02/13,11.94,800
2019/02/12,11.6,5000
2019/02/11,11,3400
2019/02/08,10.99,4800
2019/02/07,11.35,6500
2019/02/06,11.25,3700
2019/02/05,11.37,7500
2019/02/04,10.81,14100
2019/02/01,10.6,3000
2019/01/31,11.22,9600
2019/01/30,10.63,6000
2019/01/29,10.21,9200
2019/01/28,10.12,11500
2019/01/25,10.4,7400
2019/01/24,10.57,6100
2019/01/23,10.93,10400
2019/01/22,10.78,5200
2019/01/18,11.55,3300
2019/01/17,11.78,3700
2019/01/16,12.28,1600
2019/01/15,11.69,2200
2019/01/14,11.63,0
2019/01/11,11.63,5300
2019/01/10,10.64,2500
2019/01/09,10.6,2800
2019/01/08,10.5,1800
2019/01/07,10.2,2700
2019/01/04,10.22,3400
2019/01/03,10.2,4700
2019/01/02,10.03,1000
2018/12/31,9.9,4000
2018/12/28,9.97,11900
2018/12/27,10.05,9400
2018/12/26,10.35,3300
2018/12/24,10.8,2600
2018/12/21,10.39,13000
2018/12/20,11.44,3000
2018/12/19,11.62,600
2018/12/18,11.94,2800
2018/12/17,12.01,3600
2018/12/14,12.35,9300
2018/12/13,12.7,1000
2018/12/12,12.8,7500
2018/12/11,12.94,2600
2018/12/10,13,2500
2018/12/07,13.17,300
2018/12/06,13.05,2800
2018/12/04,13,2300
2018/12/03,13.14,100
2018/11/30,12.74,1200
2018/11/29,12.91,2600
2018/11/28,13.48,300
2018/11/27,12.98,2500
2018/11/26,12.8,4800
2018/11/23,12.99,900
2018/11/21,12.5,12000
2018/11/20,13.35,2100
2018/11/19,13.5,1900
2018/11/16,13.88,600
2018/11/15,13.95,1200
2018/11/14,13.95,500
2018/11/13,13.58,2400
2018/11/12,13.18,1000
2018/11/09,13.69,1100
2018/11/08,13.95,1000
2018/11/07,13.6,15100
2018/11/06,13.7,2300
2018/11/05,13.77,300
2018/11/02,14.17,8700
2018/11/01,14.07,5700
2018/10/31,14.43,0
2018/10/30,14.43,200
2018/10/29,13.96,200
2018/10/26,13.96,1500
2018/10/25,14.23,100
2018/10/24,14.62,200
2018/10/23,14.1,3400
2018/10/22,14.47,3800
2018/10/19,14.11,400
2018/10/18,14.08,8300
2018/10/17,14.8,3700
2018/10/16,14.66,3200
2018/10/15,14.88,0
2018/10/12,14.88,1900
2018/10/11,15.06,2500
2018/10/10,14.9,1300
2018/10/09,15.03,1600
2018/10/08,15.25,2000
2018/10/05,15,3400
2018/10/04,15.09,2900
2018/10/03,15.35,1900
2018/10/02,15.17,5700
2018/10/01,15.3,9400
2018/09/28,15.42,6300
2018/09/27,15.29,9400
2018/09/26,15.523,24200
2018/09/25,15.82278,5000
2018/09/24,15.77594,5500
2018/09/21,15.944567,7300
2018/09/20,16.066351,7300
2018/09/19,16.150665,13000
2018/09/18,15.907093,800
2018/09/17,15.785309,5400
2018/09/14,15.551105,2000
2018/09/13,15.363742,1700
2018/09/12,15.429318,3600
2018/09/11,15.448055,1800
2018/09/10,15.204483,500
2018/09/07,15.157643,0
2018/09/06,15.157643,700
2018/09/05,15.101435,10600
2018/09/04,15.363742,3300
2018/08/31,15.241957,21400
2018/08/30,15.410583,4600
2018/08/29,15.082698,7000
2018/08/28,15.410583,0
2018/08/27,15.410583,4300
2018/08/24,15.466792,2900
2018/08/23,15.22322,2600
2018/08/22,15.054593,2100
2018/08/21,15.101435,2000
2018/08/20,15.363742,19900
2018/08/17,15.251325,3700
2018/08/16,15.110802,1000
2018/08/15,15.054593,900
2018/08/14,15.27006,2900
2018/08/13,14.989017,1300
2018/08/10,14.736076,600
2018/08/09,15.27006,400
2018/08/08,15.092067,1100
2018/08/07,15.17638,700
2018/08/06,14.989017,3000
